NCELL,NMUT,ALPHA_FP,BETA_FN,GAMMA_NA,S,H,MINVAF,ISAV,D,L,REPL,MTHD,NODE,SECS,NLEAF,NINT_ESTI,SE_FP,NINT_TRUE,SE_FN,SL_P,SL_R,SL_FPR,DL_P,DL_R,DL_FPR,AD_P,AD_R,AD_FPR,AD_FLIP,QS,NQS
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron10,192.458,300,129,82,81,34,0.9493670886075949,0.40431266846361186,0.00020382165605095542,0.9734470679466267,0.9957058067339515,0.00261437908496732,0.8359148112294289,0.6422461881740424,0.00893534062601538,0.005184331797235023,743294809,0.928772313692002
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,huntress_v0.1.2.0_default,heron10,1420.175,300,172,91,88,7,0.9005281690140845,0.6313515737502572,0.0007490305688434217,0.9884482103864046,0.999400052315438,0.008320447684264782,0.9406442936609817,0.8577002396744886,0.004495165621352867,0.001524835350225481,4079708851,0.8960036998228881
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,scistree_v1.2.0.6_wmuts,heron10,3067.236,300,195,107,88,0,0.9758779709116708,0.5659329356099568,0.00015024801970900495,0.9876906279298845,0.9985985222088634,0.001668998355545738,0.923774083188284,0.857867454433978,0.006008577582526022,0.00022735392510312124,4122523189,0.9054067740751266
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,fastral_wrootx_wmuts,heron10,416.425,300,177,96,88,7,0.9702209414024976,0.6233285332236166,0.00020548626224908028,0.9879692925991553,0.9981713594574553,0.0022826006921434355,0.9264339526367921,0.8602084610668301,0.00573815600952643,0.0010356657388827756,4125224087,0.9059999572382464
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,fastme_v2.1.5_wrootx_wmuts,heron10,2.321,300,173,86,88,1,0.967992240543162,0.6159226496605636,0.00021874344045869835,0.9879746474590444,0.9980297718038987,0.0024298652529268832,0.9243916309976353,0.8606822362187169,0.005972995796605023,0.000258975106017934,4121900672,0.9052700541385884
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron10,683.387,300,163,80,88,5,0.9722921914357683,0.6352602345196462,0.00019443861374106522,0.9877861181933425,0.998545726812622,0.002159880224823896,0.9331779096524161,0.8589543503706594,0.005216289816018445,0.00025949592915761136,4124278449,0.905792272038729
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,huntress_v0.1.2.0_default,heron03,1515.762,300,164,87,84,7,0.8419354838709677,0.6260357610117749,0.0012209652647840999,0.985552870018693,0.9989621247960454,0.01698600781545443,0.9108221291602381,0.7611434465482944,0.004652728375197544,0.0035686728395061726,2276233026,0.9241063095295275
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,scistree_v1.2.0.6_wmuts,heron03,2767.589,300,193,111,84,2,0.9150594993844892,0.48626253815961623,0.0004689050274773816,0.9837319845646557,0.9980401054288114,0.006523383335434262,0.8785508616614379,0.7530759596257276,0.006689043051464094,0.0011726193384472565,2298448673,0.9331254298605676
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,fastral_wrootx_wmuts,heron03,403.591,300,169,94,84,9,0.9007741027445461,0.5582206716092455,0.0006387981533749836,0.9846435283440879,0.9977504658370101,0.008886928022185806,0.8833368983957219,0.7606277167906874,0.006395412681967276,0.0023192887514495554,2301478809,0.9343556061054192
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,fastme_v2.1.5_wrootx_wmuts,heron03,1.834,300,182,102,84,4,0.9090564607805988,0.5231138246838203,0.0005436580028723264,0.9842348561308628,0.9980039004798362,0.007563342997604941,0.8815298107052411,0.7565387165696603,0.006483740516693961,0.002137894174238375,2296774989,0.932445946729055
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron03,629.269,300,177,96,84,3,0.9152348224513173,0.5226777147841256,0.0005028836526569019,0.9844350010117964,0.9980666557247265,0.006996092272784571,0.882058521560575,0.7595594194356443,0.0064813532779175636,0.0020328154493974154,2300384744,0.9339114370076218
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,huntress_v0.1.2.0_default,heron05,1510.245,300,171,88,90,7,0.8772395487723955,0.5761603835258227,0.0008050881571532082,0.9890285976273712,0.9976275536748639,0.011671556102331157,0.8845428651662856,0.8132561227500738,0.006257807959657159,0.006443763518385003,2366579562,0.9174930517687192
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,scistree_v1.2.0.6_wmuts,heron05,2531.888,300,185,96,90,1,0.9369195046439629,0.5275659185007627,0.000354673971935062,0.9890725648558847,0.9987559686911079,0.005141793634270212,0.9002129968251417,0.8262024195928003,0.00555308954957511,0.0024937655860349127,2393889374,0.9280807214830368
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,fastral_wrootx_wmuts,heron05,411.794,300,170,88,90,8,0.905937052932761,0.5519721072129005,0.0005722653657602534,0.9888460252081205,0.998131640710809,0.008296268256521876,0.8919658670101432,0.8173502508114489,0.0058734160996124045,0.005252053687659918,2396761043,0.9291940313403454
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,fastme_v2.1.5_wrootx_wmuts,heron05,2.075,300,176,88,90,2,0.9387905604719764,0.5548049684027021,0.0003612017137498178,0.9894086051073346,0.9983929335321934,0.005236427872937762,0.8982523342111564,0.8303334316907642,0.005678932122804047,0.0030115146147032773,2391153029,0.9270198750339868
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron05,640.837,300,161,71,90,0,0.9441941074523397,0.5935933754630639,0.0003503221440585582,0.9890250355638328,0.9983420623634283,0.005078704141825179,0.9050602214857327,0.8259442313366775,0.005273947841685467,0.001961046485715559,2396077832,0.9289291590514704
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo4,huntress_v0.1.2.0_default,heron07,1769.221,300,172,92,85,5,0.8754669987546699,0.5832814768720183,0.0008689814885218407,0.978222958852778,0.9987933368650304,0.006969369620517824,0.9508200315734082,0.8248530614574021,0.005288966130740722,0.0014046884354994703,4185420180,0.7813178003702946
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo4,scistree_v1.2.0.6_wmuts,heron07,4542.123,300,191,112,85,6,0.9562073121735637,0.49367351171956025,0.0002367974556222016,0.9759101168873846,0.9978368355995055,0.001899153221591107,0.9345050717033928,0.813116999220132,0.007160222708619658,0.0009815377424631923,4240102164,0.7915256183721574
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo4,fastral_wrootx_wmuts,heron07,431.421,300,176,104,85,13,0.9195236376759293,0.5285210537232939,0.00048445717985092624,0.9780469741853576,0.9976013891341456,0.003885423563438687,0.9357233543500247,0.8271165807543797,0.007036603426920402,0.0019280205655526992,4243674180,0.7921924282894374
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo4,fastme_v2.1.5_wrootx_wmuts,heron07,2.517,300,178,96,85,3,0.9452201933404941,0.5476042314872434,0.0003323854193596041,0.9784025119732261,0.998060019228128,0.002665783879848068,0.9414337736214958,0.8310539630608867,0.006510615502827488,0.0007318802460947328,4236693581,0.7908893174854111
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo4,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron07,684.044,300,170,91,85,6,0.9473118279569892,0.5482265090230243,0.00031935069703177646,0.9781274186027507,0.9980624717954755,0.0025612433355403003,0.9418283146844083,0.8293420577102315,0.0064354743708142145,0.0008707807236646119,4241563445,0.7917984045698487
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo5,huntress_v0.1.2.0_default,heron09,1484.284,300,170,90,85,5,0.8893604122461352,0.5870348139255702,0.0008118634378968955,0.9736480116611403,0.9987981505297324,0.005822764616734466,0.9520532651279865,0.8130254650094475,0.005709332970516057,0.0020426835755473754,3089032327,0.6545933566654594
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo5,scistree_v1.2.0.6_wmuts,heron09,3767.912,300,187,103,85,1,0.9608632040965618,0.525610244097639,0.0002379983228903228,0.9727676829919769,0.9989971829260824,0.0017069474355906518,0.9491940709541552,0.8125747568776327,0.006235921933816082,0.0007248076062162911,3265581588,0.6920057114552305
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo5,fastral_wrootx_wmuts,heron09,442.26,300,177,104,85,12,0.9415561133022589,0.5254101640656262,0.0003625581928142301,0.9733735692712963,0.9975529222038501,0.0026003031028156657,0.9390761747174099,0.816561790351379,0.007478067191743891,0.0018646833216790625,3267903669,0.6924977810211438
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo5,fastme_v2.1.5_wrootx_wmuts,heron09,2.514,300,181,99,85,3,0.9414545454545454,0.5180072028811524,0.0003581096260312334,0.9734015676298621,0.9978846428644335,0.0025683975432719153,0.9403330803945844,0.8163017664291782,0.007420117210136711,0.0009123119682600302,3266060524,0.692107202242856
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo5,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron09,638.112,300,168,90,85,7,0.9535452322738386,0.5462184873949579,0.00029582969106927977,0.9732773510804044,0.9978591258905424,0.0021217197096594083,0.9428931976604439,0.8160070726506838,0.007064858627240523,0.000997453310696095,3265237271,0.6919327476280743
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo6,huntress_v0.1.2.0_default,heron11,1298.68,300,170,93,83,6,0.8993672793009942,0.6133141565646189,0.000755454426193912,0.9804874196150136,0.9988321602110402,0.009069679031119318,0.9165408585917237,0.7408554710723114,0.005059923956571396,0.002359583702018287,2429145913,0.8401918691065425
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo6,scistree_v1.2.0.6_wmuts,heron11,2300.409,300,198,116,83,1,0.9655586704044854,0.49537702897061847,0.00019451820554693543,0.9797544690932587,0.9981738789103738,0.002335306576875034,0.8912390111954317,0.742294815232016,0.0069128199197158735,0.001094782938228978,2502189633,0.8654561973236573
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo6,fastral_wrootx_wmuts,heron11,412.257,300,174,100,83,9,0.9222059897735574,0.5188000821861516,0.0004817718346685726,0.9796891578904507,0.9972498470105495,0.005783956986911421,0.8831912028725314,0.7388529052848962,0.007435678728561584,0.0015644820295983087,2503075436,0.8657625784571443
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo6,fastme_v2.1.5_wrootx_wmuts,heron11,2.395,300,182,102,83,3,0.9579863739591219,0.5200328744606534,0.00025106419553150966,0.9798626213080674,0.9974765883474458,0.0030141747678270785,0.8857185483570177,0.7430457774022967,0.007271833571872606,0.0019333417391669818,2499806197,0.8646318155781973
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo6,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron11,638.186,300,175,96,83,4,0.9290053151100988,0.502773782617629,0.0004229640050846154,0.9796227698187121,0.9974497694796408,0.005077934068321295,0.8821460640526788,0.7377577521199036,0.007479049505332196,0.0019471723670843211,2500825053,0.8649842170220172
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo7,huntress_v0.1.2.0_default,heron04,1463.527,300,164,86,85,7,0.9613394216133943,0.6388832692696743,0.0002830493553383777,0.9743204951564379,0.9983799177608478,0.003121466843631716,0.9181370386707837,0.6987941694877319,0.005300501334099094,0.0004802112929689063,2837056397,0.9039617768154494
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo7,scistree_v1.2.0.6_wmuts,heron04,2847.855,300,198,117,85,4,0.9666795815575359,0.5047541978555533,0.0001916712170007912,0.9730344080386922,0.9982685219716086,0.0021137492011994298,0.8965177398160316,0.6871555269563271,0.006669298969812269,0.0019505059124710472,2877562470,0.9168680911769176
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo7,fastral_wrootx_wmuts,heron04,406.439,300,178,100,85,7,0.9414119359534207,0.5233663766943152,0.0003588263481061324,0.9733346559721868,0.9979755026129578,0.003957135132478002,0.896303303740358,0.68919788490054,0.006595115881163478,0.003801358783565189,2880441698,0.9177854899503396
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo7,fastme_v2.1.5_wrootx_wmuts,heron04,1.916,300,178,97,85,4,0.9773218142548596,0.5492615820352013,0.00014041031012848658,0.9731380423209223,0.9981910292486597,0.001548444182274001,0.9044249734208307,0.6902050751196038,0.006173947377867117,0.0010932501923310524,2876529486,0.916538954945065
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo7,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron04,660.926,300,177,96,85,4,0.9796296296296296,0.5351001416144042,0.00012258042947725019,0.9736097330498464,0.9980312005075773,0.0013518163496042865,0.8991240770233097,0.6949892286601572,0.0066214389126195,0.0008044728691524878,2878917187,0.9172997401168884
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo8,huntress_v0.1.2.0_default,heron06,1456.166,300,174,90,90,6,0.8997867803837953,0.6081943586576076,0.0007162933885467082,0.9813184613450894,0.9987397187582914,0.007826252438270136,0.9255622021048591,0.7781931631747397,0.005222665901612469,0.003341255898866729,3408849850,0.8752496660790853
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo8,scistree_v1.2.0.6_wmuts,heron06,3053.804,300,194,108,90,4,0.976727004063539,0.5443689520280008,0.00013716256376426327,0.9800736600292036,0.9985454648826896,0.0014986440839240688,0.9173545816733067,0.7741050536564374,0.005939318711430144,0.0019764901695620515,3446928753,0.8850267312482677
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo8,fastral_wrootx_wmuts,heron06,790.672,300,177,95,90,8,0.9607179139857772,0.5841054148651431,0.00025255329201038953,0.981093938836482,0.9980858886404124,0.0027594081545268567,0.9159060867375842,0.7827116000107582,0.0060798388702179235,0.0026047021728699705,3449178180,0.8856042897554631
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo8,fastme_v2.1.5_wrootx_wmuts,heron06,2.188,300,180,95,90,5,0.9569707401032702,0.5723697755816347,0.00027214794397671286,0.9810275262678776,0.9981995982261305,0.0029735001665160093,0.9165511592741935,0.7825233318092574,0.006068128856985608,0.001989503653140329,3445067125,0.8845487432590451
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo8,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron06,662.914,300,176,92,90,6,0.9659953780125454,0.6024294832200947,0.0002242499058368114,0.9809504968929643,0.9984767653413182,0.002450164137209192,0.9235707248863889,0.7816357817164681,0.0054709181821375455,0.0023686107582987195,3446393768,0.8848893695388316
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo9,huntress_v0.1.2.0_default,heron08,1414.252,300,173,95,86,8,0.8661151960784313,0.5942821105738911,0.0009552246635947924,0.9825724824113836,0.9988853635523659,0.008223715162121982,0.9447113710744377,0.841242610888347,0.005332734095428636,0.004281240825912516,4213902197,0.7432771033358988
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo9,scistree_v1.2.0.6_wmuts,heron08,3907.372,300,188,104,86,2,0.9576796789492886,0.5518183729241118,0.0002535607802677252,0.9818014825215851,0.9981471613436258,0.002182954139144508,0.9381008098745038,0.8451283535199041,0.006354821328036843,0.0016602778523817662,4363617870,0.76968498528215
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo9,fastral_wrootx_wmuts,heron08,438.758,300,160,86,86,12,0.9200960219478738,0.564010931259197,0.0005093074293308618,0.9817140461377579,0.9959105553138338,0.004384726848454055,0.9220213510280543,0.8443636062998636,0.008133204787137648,0.002173859944798613,4371954839,0.7711555173161713
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo9,fastme_v2.1.5_wrootx_wmuts,heron08,2.074,300,169,86,86,3,0.9547038327526133,0.5759932730712634,0.00028416294340348513,0.981820722689521,0.9960547736261373,0.002446414121455052,0.9245342595516262,0.8472572444297466,0.00796406505597317,0.001218264217143414,4363272959,0.7696241475035297
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo9,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron08,660.821,300,169,86,86,3,0.9564459930313589,0.5770443556863569,0.00027323359942642804,0.982238459815569,0.9969347497690063,0.0023523212706298576,0.931276615022198,0.8497788433715018,0.00721018511135435,0.001214653580798756,4369798322,0.7707751359892873
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,huntress_v0.1.2.0_default,heron08,1489.831,300,174,97,87,10,0.8761536171479607,0.5890712570056045,0.0009040844623522713,0.9852142468201556,0.9987685949243464,0.01009120900446342,0.9217681765679143,0.8150325714916639,0.005532732419060765,0.0044841537424140255,4108774257,0.9045259696045626
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,scistree_v1.2.0.6_wmuts,heron08,3272.308,300,194,113,87,6,0.9544117647058824,0.5196156925540433,0.0002694867147396193,0.9843369567747492,0.9975820111062358,0.003007956530176596,0.9034146341463415,0.8179308821905709,0.00720677450792955,0.002591807196472449,4139079025,0.911197411729216
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,fastral_wrootx_wmuts,heron08,418.449,300,166,88,87,9,0.9488215488215488,0.5640512409927942,0.00033033855355179143,0.9841705611557027,0.9970488740428303,0.003687172520861634,0.9050967682759042,0.8171303963784917,0.007094860830679269,0.002056364617044229,4140676352,0.9115490552275144
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,fastme_v2.1.5_wrootx_wmuts,heron08,2.402,300,179,96,87,4,0.9513019952654718,0.5630504403522818,0.00031295231389117084,0.9841098710207731,0.9969781036361834,0.0034931108092373375,0.9040459601515707,0.8166059401567848,0.007225426787471264,0.0013839662447257383,4137402252,0.9108282785939388
